MANDT,BUKRS,BELNR,GJAHR,BUZEI,BSCHL,HKONT,SHKZG,WRBTR,DMBTR,WAERS,KOSTL,PRCTR,LIFNR,KUNNR
100,1000,1900001234,2024,001,40,400000,S,1500.00,1500.00,USD,CC1001,PC2001,,C20001
100,1000,1900001234,2024,002,50,100000,H,1500.00,1500.00,USD,CC1001,PC2001,,
100,1000,1900001235,2024,001,31,160000,S,2500.00,2500.00,USD,,PC1002,V10001,
100,1000,1900001235,2024,002,50,100000,H,2500.00,2500.00,USD,,PC1002,,
100,2000,1900002236,2024,001,40,300000,S,1200.00,1200.00,EUR,CC2001,PC2003,,C20002
100,2000,1900002236,2024,002,50,110000,H,1200.00,1200.00,EUR,CC2001,PC2003,,
100,3000,1900003237,2024,001,40,400000,S,800.00,800.00,GBP,CC3001,PC3001,,C20003
100,3000,1900003237,2024,002,50,110000,H,800.00,800.00,GBP,CC3001,PC3001,,
100,1000,1900001238,2024,001,40,400000,S,500.00,500.00,USD,CC1002,PC2002,,C20004
100,1000,1900001238,2024,002,50,100000,H,500.00,500.00,USD,CC1002,PC2002,,
100,2000,1900002239,2024,001,31,160000,S,3200.00,3200.00,EUR,,PC1002,V10002,
100,2000,1900002239,2024,002,50,110000,H,3200.00,3200.00,EUR,,PC1002,,
100,3000,1900003240,2024,001,40,500000,S,1000.00,1000.00,GBP,CC3002,PC3002,,C20005
100,3000,1900003240,2024,002,50,110000,H,1000.00,1000.00,GBP,CC3002,PC3002,,
100,3000,1900003241,2024,001,40,500000,H,-1000.00,-1000.00,GBP,CC3002,PC3002,,C20005
100,3000,1900003241,2024,002,50,110000,S,-1000.00,-1000.00,GBP,CC3002,PC3002,,
