KTOPL,SAKNR,TXT50,XBILK
USCO,100000,Main Bank Account,
USCO,110000,Clearing Account,
USCO,140000,Reconciliation Account - Customers,D
USCO,160000,Reconciliation Account - Vendors,K
USCO,300000,Sales Revenue - Domestic,
USCO,400000,Sales Revenue - Export,
USCO,500000,Miscellaneous Expense,
DECO,100000,Hauptbankkonto,
DECO,110000,Verrechnungskonto,
DECO,140000,Sammelkonto Debitoren,D
DECO,160000,Sammelkonto Kreditoren,K
DECO,300000,Umsatzerlöse Inland,
DECO,400000,Umsatzerlöse Export,
DECO,500000,Verschiedene Aufwendungen,
UKCO,100000,Main Bank Account,
UKCO,110000,Clearing Account,
UKCO,140000,Reconciliation Account - Customers,D
UKCO,160000,Reconciliation Account - Vendors,K
UKCO,300000,Sales Revenue - Domestic,
UKCO,400000,Sales Revenue - Export,
UKCO,500000,Miscellaneous Expense,
