CAS          NAME   CLASS  LOGP  LOGMOLAR  ESTIMATE   ERROR    WSOL       MP    MOLWT
000075-28-5  2-METHYLPROPANE                             1    2.76    -3.076    -2.58   -0.496   4.88E+01    Liq   58.12
000075-83-2  2,2-DIMETHYLBUTANE                          1    3.82    -3.671    -3.686   0.015   1.84E+01    Liq   86.18
000079-29-8  2,3-DIMETHYLBUTANE                          1    3.85    -3.583    -3.714   0.131   2.25E+01    Liq   86.18
000096-14-0  3-METHYLPENTANE                             1    3.60    -3.683    -3.474  -0.208   1.79E+01    Liq   86.18
000096-37-7  METHYLCYCLOPENTANE                          1    3.37    -3.302    -3.247  -0.055   4.20E+01    Liq   84.16
000106-97-8  N-BUTANE                                    1    2.76    -2.978    -2.58   -0.398   6.12E+01    Liq   58.12
000109-66-0  N-PENTANE                                   1    3.39    -3.278    -3.229  -0.05    3.80E+01    Liq   72.15
000110-54-3  N-HEXANE                                    1    3.90    -3.958    -3.762  -0.195   9.50E+00    Liq   86.18
000110-82-7  CYCLOHEXANE                                 1    3.44    -3.185    -3.314   0.13    5.50E+01    Liq   84.16
000111-65-9  OCTANE                                      1    5.18    -5.238    -5.079  -0.159   6.60E-01    Liq   114.23
000112-40-3  DODECANE                                    1    6.10    -6.41     -6.139  -0.271   6.63E-02    Liq   170.34
000142-82-5  N-HEPTANE                                   1    4.66    -4.469    -4.536   0.067   3.40E+00    Liq   100.21
000287-92-3  CYCLOPENTANE                                1    3.00    -2.653    -2.848   0.195   1.56E+02    Liq   70.14
000292-64-8  CYCLOOCTANE                                 1    4.45    -4.152    -4.372   0.22    7.90E+00    Liq   112.22
000463-82-1  2,2-DIMETHYLPROPANE                         1    3.11    -3.337    -2.96   -0.377   3.32E+01    Liq   72.15
000629-59-4  TETRADECANE                                 1    7.20    -7.456    -7.283  -0.173   6.94E-03    Liq   198.40
000056-23-5  CARBON TETRACHLORIDE                        2    2.83    -2.288    -2.507   0.219   7.93E+02    Liq   153.82
000058-89-9  GAMMA-HEXACHLOROCYCLOHEXANE                 2    3.72    -4.6      -4.596  -0.004   7.30E+00   112.5  290.83
000067-66-3  CHLOROFORM                                  2    1.97    -1.177    -1.573   0.396   7.95E+03    Liq   119.38
000067-72-1  HEXACHLOROETHANE                            2    3.91    -4.488    -5.292   0.805   7.70E+00   186.8  236.74
000071-55-6  1,1,1-TRICHLOROETHANE                       2    2.49    -1.952    -2.116   0.164   1.49E+03    Liq   133.41
000074-83-9  METHYL BROMIDE                              2    1.19    -0.796    -0.747  -0.048   1.52E+04    Liq   94.94
