CAS,NAME,CLASS,LOGP,LOGMOLAR,ESTIMATE,ERROR,WSOL,MP,MOLWT,class_name
75-28-5,2-METHYLPROPANE,1,2.76,-3.076,-2.58,-0.496,48.8,Liq,58.12,Alkanes
75-83-2,"2,2-DIMETHYLBUTANE",1,3.82,-3.671,-3.686,0.015,18.4,Liq,86.18,Alkanes
79-29-8,"2,3-DIMETHYLBUTANE",1,3.85,-3.583,-3.714,0.131,22.5,Liq,86.18,Alkanes
96-14-0,3-METHYLPENTANE,1,3.6,-3.683,-3.474,-0.208,17.9,Liq,86.18,Alkanes
96-37-7,METHYLCYCLOPENTANE,1,3.37,-3.302,-3.247,-0.055,42.0,Liq,84.16,Alkanes
106-97-8,N-BUTANE,1,2.76,-2.978,-2.58,-0.398,61.2,Liq,58.12,Alkanes
109-66-0,N-PENTANE,1,3.39,-3.278,-3.229,-0.05,38.0,Liq,72.15,Alkanes
110-54-3,N-HEXANE,1,3.9,-3.958,-3.762,-0.195,9.5,Liq,86.18,Alkanes
110-82-7,CYCLOHEXANE,1,3.44,-3.185,-3.314,0.13,55.0,Liq,84.16,Alkanes
111-65-9,OCTANE,1,5.18,-5.238,-5.079,-0.159,0.66,Liq,114.23,Alkanes
112-40-3,DODECANE,1,6.1,-6.41,-6.139,-0.271,0.0663,Liq,170.34,Alkanes
142-82-5,N-HEPTANE,1,4.66,-4.469,-4.536,0.067,3.4,Liq,100.21,Alkanes
287-92-3,CYCLOPENTANE,1,3.0,-2.653,-2.848,0.195,156.0,Liq,70.14,Alkanes
292-64-8,CYCLOOCTANE,1,4.45,-4.152,-4.372,0.22,7.9,Liq,112.22,Alkanes
463-82-1,"2,2-DIMETHYLPROPANE",1,3.11,-3.337,-2.96,-0.377,33.2,Liq,72.15,Alkanes
629-59-4,TETRADECANE,1,7.2,-7.456,-7.283,-0.173,0.00694,Liq,198.4,Alkanes
56-23-5,CARBON TETRACHLORIDE,2,2.83,-2.288,-2.507,0.219,793.0,Liq,153.82,Haloalkanes
58-89-9,GAMMA-HEXACHLOROCYCLOHEXANE,2,3.72,-4.6,-4.596,-0.004,7.3,112.5,290.83,Haloalkanes
67-66-3,CHLOROFORM,2,1.97,-1.177,-1.573,0.396,7950.0,Liq,119.38,Haloalkanes
67-72-1,HEXACHLOROETHANE,2,3.91,-4.488,-5.292,0.805,7.7,186.8,236.74,Haloalkanes
71-55-6,"1,1,1-TRICHLOROETHANE",2,2.49,-1.952,-2.116,0.164,1490.0,Liq,133.41,Haloalkanes
74-83-9,METHYL BROMIDE,2,1.19,-0.796,-0.747,-0.048,15200.0,Liq,94.94,Haloalkanes
74-87-3,METHYL CHLORIDE,2,0.91,-0.977,-0.339,-0.638,5320.0,Liq,50.49,Haloalkanes
74-88-4,METHYL IODIDE,2,1.51,-1.012,-1.202,0.19,13800.0,Liq,141.94,Haloalkanes
74-95-3,DIBROMOMETHANE,2,1.7,-1.165,-1.485,0.32,11900.0,Liq,173.85,Haloalkanes
74-96-4,BROMOETHANE,2,1.61,-1.086,-1.195,0.109,8940.0,Liq,108.97,Haloalkanes
74-97-5,CHLOROBROMOMETHANE,2,1.41,-0.889,-1.067,0.178,16700.0,Liq,129.39,Haloalkanes
75-00-3,CHLOROETHANE,2,1.43,-1.055,-0.882,-0.173,5680.0,Liq,64.52,Haloalkanes
75-03-6,IODOETHANE,2,2.0,-1.601,-1.717,0.116,3910.0,Liq,155.97,Haloalkanes
75-09-2,DICHLOROMETHANE,2,1.25,-0.815,-0.773,-0.042,13000.0,Liq,84.93,Haloalkanes
75-11-6,METHYLENE IODIDE,2,2.15,-2.334,-2.212,-0.123,1240.0,Liq,267.84,Haloalkanes
75-29-6,2-CHLOROPROPANE,2,1.9,-1.404,-1.377,-0.026,3100.0,Liq,78.54,Haloalkanes
75-34-3,"1,1-DICHLOROETHANE",2,1.79,-1.291,-1.336,0.045,5060.0,Liq,98.96,Haloalkanes
75-37-6,"1,1-DIFLUOROETHANE",2,0.75,-1.315,-1.179,-0.136,3200.0,Liq,66.05,Haloalkanes
75-43-4,DICHLOROFLUOROMETHANE,2,1.55,-0.738,-1.118,0.38,18800.0,Liq,102.92,Haloalkanes
75-45-6,CHLORODIFLUOROMETHANE,2,1.08,-1.494,-1.56,0.066,2770.0,Liq,86.47,Haloalkanes
75-46-7,TRIFLUOROMETHANE,2,0.64,-1.233,-1.086,-0.147,4090.0,Liq,70.01,Haloalkanes
75-63-8,BROMOTRIFLUOROMETHANE,2,1.86,-2.668,-2.505,-0.163,320.0,Liq,148.92,Haloalkanes
75-69-4,TRICHLOROFLUOROMETHANE,2,2.53,-2.096,-2.167,0.07,1100.0,Liq,137.37,Haloalkanes
75-71-8,DICHLORODIFLUOROMETHANE,2,2.16,-2.635,-2.705,0.07,280.0,Liq,120.91,Haloalkanes
75-72-9,CHLOROTRIFLUOROMETHANE,2,1.65,-3.065,-2.164,-0.901,90.0,Liq,104.46,Haloalkanes
