일자,자산,종목,종목명,수량,장부가,평가액,비중,시장비중,업종구분/보증기관
2025-08-25,국내주식,KR7000120006,CJ대한통운,2500.0,213114390.0,210250000.0,0.09,0.06,운송·창고
2025-08-25,국내주식,KR7071050009,한국금융지주,73249.0,5237359234.0,9698167600.0,4.33,0.24,기타금융
2025-08-25,국내주식,KR7078930005,GS,57166.0,2601522495.0,2543887000.0,1.14,0.14,기타금융
2025-08-25,국내주식,KR7086790003,하나금융지주,23644.0,1428794310.0,1952994400.0,0.87,0.77,기타금융
2025-08-25,국내주식,KR7097950000,CJ제일제당,1790.0,451771310.0,411700000.0,0.18,0.11,음식료·담배
2025-08-25,국내주식,KR7101160000,월덱스,98217.0,1979973790.0,2180417400.0,0.97,0.01,전기·전자
2025-08-25,국내주식,KR7101490001,에스앤에스텍,6167.0,202114689.0,336101500.0,0.15,0.04,전기·전자
2025-08-25,국내주식,KR7138930003,BNK금융지주,843863.0,7039645617.0,12067240900.0,5.39,0.15,기타금융
2025-08-25,국내주식,KR7141080002,리가켐바이오,24761.0,1628686179.0,3657199700.0,1.63,0.18,일반서비스
2025-08-25,국내주식,KR7067160002,SOOP,8510.0,708010492.0,673992000.0,0.3,0.03,IT 서비스
2025-08-25,국내주식,KR7145990008,삼양사,19100.0,969665203.0,937810000.0,0.42,0.02,음식료·담배
2025-08-25,국내주식,KR7175330000,JB금융지주,41277.0,610913620.0,951434850.0,0.43,0.14,기타금융
2025-08-25,국내주식,KR7192080000,더블유게임즈,29000.0,1433339674.0,1516700000.0,0.68,0.04,IT 서비스
2025-08-25,국내주식,KR7196170005,알테오젠,6637.0,2240453752.0,2907006000.0,1.3,0.77,일반서비스
2025-08-25,국내주식,KR7267250009,HD현대,12638.0,1150277727.0,1655578000.0,0.74,0.34,기타금융
2025-08-25,국내주식,KR7271560005,오리온,178200.0,16651003721.0,18907020000.0,8.45,0.14,음식료·담배
2025-08-25,국내주식,KR7298380007,에이비엘바이오,70160.0,5002044062.0,6230208000.0,2.78,0.16,제약
2025-08-25,국내주식,KR7316140003,우리금융지주,830781.0,10742097723.0,20769525000.0,9.28,0.61,기타금융
2025-08-25,국내주식,KR7340570001,티앤엘,40633.0,2738209759.0,2186055400.0,0.98,0.01,제약
2025-08-25,국내주식,KR7161390000,한국타이어앤테크놀로지,16501.0,642356217.0,664165250.0,0.3,0.16,화학
2025-08-25,국내주식,KR7066570003,LG전자,5000.0,383650163.0,379500000.0,0.17,0.4,전기·전자
2025-08-25,국내주식,KR7064960008,SNT모티브,6439.0,190350050.0,215706500.0,0.1,0.03,운송장비·부품
2025-08-25,국내주식,KR7058470006,리노공업,14935.0,614811063.0,698211250.0,0.31,0.12,전기·전자
2025-08-25,국내주식,KR7001060003,JW중외제약,25957.0,551533126.0,564564750.0,0.25,0.02,제약
2025-08-25,국내주식,KR7002380004,KCC,6454.0,2029448389.0,2420250000.0,1.08,0.11,화학
2025-08-25,국내주식,KR7003030004,세아제강지주,18000.0,2577781441.0,3353400000.0,1.5,0.03,기타금융
2025-08-25,국내주식,KR7003090008,대웅,33042.0,565753011.0,725271900.0,0.32,0.04,제약
2025-08-25,국내주식,KR7005380001,현대차,15465.0,3324247597.0,3433230000.0,1.53,1.49,운송장비·부품
2025-08-25,국내주식,KR7005930003,삼성전자,203784.0,12252965194.0,14570556000.0,6.51,13.84,전기·전자
2025-08-25,국내주식,KR7006040000,동원산업,52500.0,1733467552.0,2252250000.0,1.01,0.06,기타금융
2025-08-25,국내주식,KR7006260004,LS,4321.0,503650614.0,718150200.0,0.32,0.17,기타금융
2025-08-25,국내주식,KR7007310006,오뚜기,743.0,282026353.0,284569000.0,0.13,0.05,음식료·담배
2025-08-25,국내주식,KR7007340003,DN오토모티브,829500.0,8872019265.0,20986350000.0,9.38,0.05,전기·전자
2025-08-25,국내주식,KR7011070000,LG이노텍,966.0,135692506.0,153304200.0,0.07,0.12,전기·전자
2025-08-25,국내주식,KR7015760002,한국전력,38663.0,922196769.0,1480792900.0,0.66,0.8,전기·가스
2025-08-25,국내주식,KR7028050003,삼성E&A,153388.0,3001943482.0,4432913200.0,1.98,0.19,일반서비스
2025-08-25,국내주식,KR7028260008,삼성물산,20540.0,2898306736.0,3421964000.0,1.53,0.93,유통
2025-08-25,국내주식,KR7028670008,팬오션,30471.0,121259091.0,121884000.0,0.05,0.07,운송·창고
2025-08-25,국내주식,KR7030200000,KT,128237.0,4478395833.0,7065858700.0,3.16,0.45,통신
2025-08-25,국내주식,KR7035250000,강원랜드,27872.0,523889456.0,505040640.0,0.23,0.13,오락·문화
2025-08-25,국내주식,KR7044450005,KSS해운,181038.0,1663834379.0,1718050620.0,0.77,0.01,운송·창고
2025-08-25,국내주식,KR7051600005,한전KPS,19843.0,826080246.0,1021914500.0,0.46,0.08,건설
2025-08-25,국내주식,KR7357780006,솔브레인,2361.0,457232789.0,520600500.0,0.23,0.06,화학
2025-08-25,국내주식,KR7375500006,DL이앤씨,12594.0,413217335.0,542801400.0,0.24,0.05,건설
