index,category,icd9_codes,icd10_codes,weights
0,Age,,YYYY|YYYY,0
1,Myocardial infarction,,I21|I22|I23|I252,1
2,Congestive heart failure,,I11|I13|I255|I42|I43|I50|I517,1
3,Peripheral vascular disease,,I70|I71|I72|I73|I770|I771|K551|K558|K559|R02|Z958|Z959,1
4,Cerebrovascular disease,,G45|G46|I60|I61|I62|I63|I65|I66|I67|I68|I69,1
5,Dementia,,A810|F00|F01|F02|F03|F051|G30|G31,1
6,Chronic pulmonary disease,,I26|I27|J40|J41|J42|J44|J43|J45|J46|J47|J60|J61|J62|J63|J66|J64|J65|J66|J67|J684|J701|J703,1
7,Rheumatological disease,,M05|M06|M09|M120|M315|M32|M33|M34|M35|M36,1
8,Liver disease,,B18|I85|I864|I982|K70|K71|K721|K729|K76|R162|Z944,1
9,Diabetes,,E10|E11|E12|E13|E14,1
10,Hemiplegia or paraplegia,,G114|G81|G82|G83,1
11,Renal disease,,I12|I13|N01|N03|N05|N07|N08|N171|N172|N18|N19|N25|Z49|Z940|Z992,1
12,Any malignancy,,C0|C1|C20|C21|C22|C23|C24|C25|C26|C30|C31|C32|C33|C34|C37|C38|C39|C40|C41|C43|C45|C46|C47|C48|C49|C50|C51|C52|C53|C54|C55|C56|C57|C58|C60|C61|C62|C63|C64|C65|C66|C67|C68|C69|C70|C71|C72|C73|C74|C75|C76|C80|C81|C82|C83|C84|C85|C88|C90|C91|C92|C93|C94|C95|C96|C97,1
13,Metastatic solid tumor,,C77|C78|C79,1
14,AIDS/HIV,,B20|B21|B22|B23|B24,1
