index,category,icd9_codes,icd10_codes,weights
0,Alcohol abuse,2911|2912|2915|2918|2919|3039|3050|V113,F10|E52|G621|I426|K292|K700|K703|K709|T51|Z714|Z658,1
1,Any tumor,140|141|142|143|144|145|146|147|148|149|150|151|152|153|154|155|156|157|158|159|160|161|162|163|164|165|166|167|168|169|170|171|174|175|176|177|178|179|180|181|182|183|184|185|186|187|188|189|190|191|192|193|194|195|200|201|202|203|204|205|206|207|208|2730|2733|V1046,C00|C01|C02|C03|C04|C05|C06|C07|C08|C09|C10|C11|C12|C13|C14|C15|C16|C17|C18|C19|C20|C21|C22|C23|C24|C25|C26|C30|C31|C32|C33|C34|C37|C38|C39|C40|C41|C43|C45|C46|C47|C48|C49|C50|C51|C52|C53|C54|C55|C56|C57|C58|C60|C61|C62|C63|C64|C65|C66|C67|C68|C69|C70|C71|C72|C73|C74|C75|C76|C81|C82|C83|C84|C85|C86|C88|C90|C91|C92|C93|C940|C941|C942|C943|C948|C95|C960|C962|C964|C969|C96A|C96Z|D45|D89|Z8546,1
2,Cardiac arrhythmias,42610|42611|42613|4262|4263|4264|42650|42651|42652|42653|4266|4267|4268|4270|4272|42731|4276|4279|7850|V450|V533,I440|I441|I443|I444|I445|I450|I451|I452|I454|I455|I456|I457|I458|I459|I47|I48|I49|R000|R001|R008|T821|Z450|Z950|Z95810|Z95818|Z959,1
3,Chronic pulmonary disease,4150|4168|4169|491|492|493|494|496,I260|I272|I273|I274|I275|I276|I277|I278|I279|J40|J41|J42|J43|J44|J45|J46|J47|J60|J61|J62|J63|J64|J65|J66|J67|J684|J701|J703,1
4,Coagulopathy,2860|2861|2862|2863|2864|2865|2866|2867|2868|2869|2871|2873|2874|2875,D65|D66|D67|D68|D691|D693|D694|D695|D696,1
5,Complicated diabetes,2504|2505|2506|2507|2509,E102|E103|E104|E105|E106|E107|E108|E112|E113|E114|E115|E116|E117|E118|E122|E123|E124|E125|E126|E127|E128|E132|E133|E134|E135|E136|E137|E138,1
6,Congestive heart failure,40201|40211|40291|425|428|4293,A1884|I099|I110|I130|I132|I255|I42|I43|I50|I517|P290,2
7,Deficiency anemia,280|281|2859,D501|D502|D503|D504|D505|D506|D507|D508|D509|D51|D52|D53|D649,1
8,Dementia,290|3310|3311|3312,F01|F02|F03|F05|G30|G3101|G3109|G311,2
9,Fluid and electrolyte disorders,276,E222|E86|E87,1
10,Hemiplegia,342|344,G041|G114|G801|G802|G81|G82|G83,1
11,HIV/AIDS,042|043|044,B20,-1
12,Hypertension,4011|4019|40210|40290|40410|40490|40511|40519|40591|40599,I10|I11|I12|I13|I15|N262,-1
13,Liver disease,07032|07033|07054|4560|4561|45620|45621|5710|5712|5713|5714|5715|5716|5718|5719|5723|5728|V427,B18|I85|I864|K70|K711|K713|K714|K715|K717|K721|K729|K73|K74|K754|K7581|K760|K762|K763|K764|K765|K766|K767|K768|K769|Z4823|Z944,1
14,Metastatic cancer,196|197|198|199,C459|C77|C78|C79|C80,5
15,Peripheral vascular disease,440|4412|4414|4417|4419|4431|4432|4438|4439|4471|5571|5579|V434,E0851|E0852|E0951|E0952|E1051|E1052|E1151|E1351|E1352|I670|I70|I71|I731|I738|I739|I771|I7771|I7772|I7773|I7774|I7779|I79|K551|K558|K559|Z9582|Z959,1
16,Psychosis,295|296|297|298|2991|29911,F20|F22|F23|F24|F25|F28|F29|F30|F31|F32|F33|F348|F349|F39|F4489|F843,1
17,Pulmonary circulation disorders,416|4179,I26|I27|I280|I288|I289,1
18,Renal failure,40311|40391|40412|40492|585|586|V420|V451|V560|V568,I120|I13|N032|N033|N034|N035|N036|N037|N052|N053|N054|N055|N056|N057|N18|N19|N250|Z3932|Z4822|Z490|Z4931|Z9115|Z940|Z992,2
19,Weight loss,260|261|262|263,E40|E41|E42|E43|E44|E45|E46|E640|R634|R64,2
