date,customer_id,campaign_id,ad_group_id,ad_id,impressions,clicks,cost_micros,conversions,conversion_value,currency
2024-03-10,cust_1001,cmp_2001,adg_3001,ad_4001,40000,1100,50000000,65,3250.00,USD
2024-03-10,cust_1001,cmp_2001,adg_3001,ad_4002,30000,800,35000000,45,2250.00,USD
2024-03-10,cust_1001,cmp_2001,adg_3002,ad_4003,30000,600,40000000,40,2000.00,USD
2024-03-11,cust_1001,cmp_2001,adg_3001,ad_4001,42000,1150,52000000,70,3500.00,USD
2024-03-11,cust_1001,cmp_2001,adg_3001,ad_4002,31000,850,38000000,50,2500.00,USD
2024-03-11,cust_1001,cmp_2001,adg_3002,ad_4003,32000,600,40000000,40,2000.00,USD
2024-03-10,cust_1001,cmp_2002,adg_3003,ad_4004,80000,1800,140000000,200,12000.00,USD
2024-03-11,cust_1001,cmp_2002,adg_3003,ad_4004,82000,1750,138000000,190,11400.00,USD
2024-02-10,cust_1002,cmp_2003,adg_3004,ad_4005,60000,1200,60000000,90,4500.00,EUR
2024-02-11,cust_1002,cmp_2003,adg_3004,ad_4005,59000,1150,59000000,85,4250.00,EUR
