date,customer_id,campaign_id,attribution_model,credited_conversions,credited_value,currency
2024-03-10,cust_1001,cmp_2001,DATA_DRIVEN,150,7500.00,USD
2024-03-10,cust_1001,cmp_2001,LAST_CLICK,150,7500.00,USD
2024-03-11,cust_1001,cmp_2001,DATA_DRIVEN,160,8000.00,USD
2024-03-11,cust_1001,cmp_2001,LAST_CLICK,160,8000.00,USD
2024-03-10,cust_1001,cmp_2002,DATA_DRIVEN,200,12000.00,USD
2024-03-10,cust_1001,cmp_2002,LAST_CLICK,200,12000.00,USD
2024-03-11,cust_1001,cmp_2002,DATA_DRIVEN,190,11400.00,USD
2024-03-11,cust_1001,cmp_2002,LAST_CLICK,190,11400.00,USD
2024-02-10,cust_1002,cmp_2003,DATA_DRIVEN,90,4500.00,EUR
2024-02-10,cust_1002,cmp_2003,LAST_CLICK,90,4500.00,EUR
2024-02-11,cust_1002,cmp_2003,DATA_DRIVEN,85,4250.00,EUR
2024-02-11,cust_1002,cmp_2003,LAST_CLICK,85,4250.00,EUR
