#l(A)	Total
3500	0.06893
3600	0.11087
3700	0.16365
3800	0.17478
3900	0.17122
4000	0.16356
4100	0.15126
4200	0.17246
4300	0.23447
4400	0.29368
4500	0.3
4600	0.3
4700	0.3
4800	0.3
4900	0.3
5000	0.3
5100	0.3
5200	0.3
5300	0.3
5400	0.3
5500	0.3
5600	0.3
5700	0.3
5800	0.3
5900	0.3
6000	0.3
6100	0.3
6200	0.3
6300	0.3
6400	0.3
6500	0.3
6600	0.3
6700	0.3
6800	0.3
6900	0.3
7000	0.3
7100	0.3
7200	0.3
7300	0.3
7400	0.3
7500	0.3
7600	0.3
7700	0.3
7800	0.3
7900	0.3
8000	0.3
8100	0.3
8200	0.3
8300	0.29929
8400	0.29482
8500	0.28916
8600	0.28189
8700	0.27666
8800	0.2681
8900	0.26299
9000	0.25541
9100	0.24604
9200	0.23351
9300	0.21798
9400	0.20462
9500	0.18954
9600	0.16778
9700	0.14684
9800	0.12667
9900	0.10461
10000	0.08452
