#l(A)	Total
3500	0.1
3600	0.1
3700	0.1
3800	0.1
3900	0.1
4000	0.1
4100	0.1
4200	0.1
4300	0.1
4400	0.1
4500	0.1
4600	0.1
4700	0.1
4800	0.1
4900	0.1
5000	0.1
5100	0.1
5200	0.1
5300	0.1
5400	0.1
5500	0.1
5600	0.1
5700	0.1
5800	0.1
5900	0.1
6000	0.1
6100	0.1
6200	0.1
6300	0.1
6400	0.1
6500	0.1
6600	0.1
6700	0.1
6800	0.1
6900	0.1
7000	0.1
7100	0.1
7200	0.1
7300	0.1
7400	0.1
7500	0.1
7600	0.1
7700	0.1
7800	0.1
7900	0.1
8000	0.1
8100	0.1
8200	0.1
8300	0.1
8400	0.1
8500	0.1
8600	0.1
8700	0.1
8800	0.1
8900	0.1
9000	0.1
9100	0.1
9200	0.1
9300	0.1
9400	0.1
9500	0.1
9600	0.1
9700	0.1
9800	0.1
9900	0.1
10000	0.1
