index,category,icd9_codes,icd10_codes,weights
0,Age,,YYYY|YYYY,1
1,Myocardial infarction,,I21|I22|I252,1
2,Congestive heart failure,,I110|I130|I132|I255|I420|I426|I427|I428|I429|I43|I50,1
3,Peripheral vascular disease,,I70|I71|I731|I738|I771|I790|I792|K55,1
4,Cerebrovascular disease,,G45|I60|I61|I62|I63|I64|I67|I69,1
5,Dementia,,F00|F01|F02|F03|F051|G30|G311|G319,1
6,Chronic obstructive pulmonary disease (COPD),,J43|J44,1
7,Other chronic pulmonary disease,,J41|J42|J45|J46|J47|J60|J61|J62|J63|J64|J65|J66|J67|J68|J69|J70,1
8,Rheumatic disease,,M05|M06|M123|M070|M071|M072|M073|M08|M13|M30|M313|M314|M315|M316|M32|M33|M34|M350|M351|M353|M45|M46,1
9,(Peptic) Ulcer disease,,K25|K26|K27|K28,1
10,Mild liver disease,,B15|B16|B17|B18|B19|K703|K73|K746|K703|K754,1
11,Diabetes,,E100|E101|E110|E111|E120|E121|E130|E131|E140|E141,1
12,Diabetes with end organ damage,,E102|E103|E104|E105|E107|E112|E113|E114|E115|E116|E117|E122|E123|E124|E125|E126|E127|E132|E133|E134|E135|E136|E137|E142|E143|E144|E145|E146|E147,2
13,"Hemiplegia, tetraplegia",,G114|G80|G81|G82|G830|G831|G832|G833|G838,2
14,Moderate or severe kidney disease,,N032|N033|N034|N035|N036|N037|N052|N053|N054|N055|N056|N057|N11|N18|N19|N250|I120|I131|Q611|Q612|Q613|Q614|Z49|Z940|Z992,2
15,"Any malignancy, including lymphoma and leukemia",,C00|C01|C02|C03|C04|C05|C06|C07|C08|C09|C10|C11|C12|C13|C14|C15|C16|C17|C18|C19|C20|C21|C22|C23|C24|C25|C26|C30|C31|C32|C33|C34|C37|C38|C39|C40|C41|C43|C45|C46|C47|C48|C49|C50|C51|C52|C53|C54|C55|C56|C57|C58|C60|C61|C62|C63|C64|C65|C66|C67|C68|C69|C70|C71|C72|C73|C74|C75|C76|C81|C82|C83|C84|C85|C86|C88|C90|C91|C92|C93|C94|C95|C96|C97,2
16,Moderate or severe liver disease,,R18|I850|I859|I982|I983,3
17,Metastatic cancer,,C77|C78|C79|C80,6
18,AIDS/HIV,,B20|B21|B22|B24|F024|O987|R75|Z114|Z219|Z711,6
