index,category,icd9_codes,icd10_codes,weights
0,Age,XXXX|XXXX,,1
1,Myocardial infarction,410|412,,1
2,Congestive heart failure,428,,1
3,Peripheral vascular disease,4439|441|7854|V434,,1
4,Cerebrovascular disease,430|431|432|433|434|435|436|437|438,,1
5,Dementia,290,,1
6,Chronic pulmonary disease,49|501|502|503|504|505,,1
7,Rheumatic disease,7100|7101|7104|7140|7141|7142|71481|725,,1
8,Peptic ulcer disease,531|532|533|534,,1
9,Mild liver disease,5712|5714|5715|5716,,1
10,Diabetes without chronic complication,2500|2501|2502|2503|2507,,1
11,Diabetes with chronic complication,2504|2505|2506,,2
12,Hemiplegia or paraplegia,3441|342,,2
13,Renal disease,582|5830|5831|5832|5833|5834|5835|5836|5837|585|586|588,,2
14,"Any malignancy, including lymphoma and leukemia",14|15|16|170|171|172|175|176|177|178|179|18|190|191|192|193|194|1950|1951|1952|1953|1954|1955|1956|1957|1958|2OO|201|202|203|204|205|206|207|208,,2
15,Moderate or severe liver disease,5722|5723|5724|5725|5726|5727|5728,,3
16,Metastatic solid tumor,196|197|198|1990|1991,,6
17,AIDS/HIV,042|043|044,,6
