index,category,icd9_codes,icd10_codes,weights
0,Age,XXXX|XXXX,,1
1,Myocardial infarction,410|412,,1
2,Congestive heart failure,398|402|428,,1
3,Peripheral vascular disease,440|441|442|443|444|445|446|447,,1
4,Cerebrovascular disease,430|431|432|433|435,,1
5,Dementia,290|291|294,,1
6,Chronic pulmonary disease,491|492|493,,1
7,Rheumatic disease,710|714|725,,1
8,Peptic ulcer disease,531|532|533|534,,1
9,Mild liver disease,571|573,,1
10,Diabetes without chronic complication,250,,1
11,Diabetes with chronic complication,250,,2
12,Hemiplegia or paraplegia,342|434|436|437,,2
13,Renal disease,403|404|580|581|582|583|584|585|586,,2
14,"Any malignancy, including lymphoma and leukemia",14|15|16|17|18|190|191|192|193|194|195|2OO|202|203|204|205|206|207|208,,2
15,Moderate or severe liver disease,070|570|572,,3
16,Metastatic solid tumor,196|197|198|199,,6
17,AIDS/HIV,,,6
