index,category,icd9_codes,icd10_codes,weights
0,Age,XXXX|XXXX,YYYY|YYYY,1
1,Myocardial infarction,410|412,I21|I22|I252,1
2,Congestive heart failure,428|4254|4255|4256|4257|4258|4259|39891|40201|40211|40291|40401|40403|40411|40413|40491|40493,I43|I50|I099|I110|I130|I132|I255|I420|I425|I426|I427|I428|I429|P290,1
3,Peripheral vascular disease,440|441|0930|4373|4471|5571|5579|V434|4431|4432|4433|4434|4435|4436|4437|4438|4439,I70|I71|I731|I738|I739|I771|I790|I792|K551|K558|K559|Z958|Z959,1
4,Cerebrovascular disease,430|431|432|433|434|435|436|437|438|36234,G45|G46|I60|I61|I62|I63|I64|I65|I66|I67|I68|I69|H340,1
5,Dementia,290|2941|3312,F00|F01|F02|F03|G30|F051|G311,1
6,Chronic pulmonary disease,490|491|492|493|494|495|496|500|501|502|503|504|505|4168|4169|5064|5081|5088,J40|J41|J42|J43|J44|J45|J46|J47|J60|J61|J62|J63|J64|J65|J66|J67|I278|I279|J684|J701|J703,1
7,Rheumatic disease,725|4465|7100|7101|7102|7103|7104|7140|7141|7142|7148,M05|M06|M32|M33|M34|M315|M351|M353|M360,1
8,Peptic ulcer disease,531|532|533|534,K25|K26|K27|K28,1
9,Mild liver disease,570|571|0706|0709|5733|5734|5738|5739|V427|07022|07023|07032|07033|07044|07054,B18|K73|K74|K700|K701|K702|K703|K709|K713|K714|K715|K717|K760|K762|K763|K764|K768|K769|Z944,1
10,Diabetes without chronic complication,2500|2501|2502|2503|2508|2509,E100|E101|E106|E108|E109|E110|E111|E116|E118|E119|E120|E121|E126|E128|E129|E130|E131|E136|E138|E139|E140|E141|E146|E148|E149,1
11,Diabetes with chronic complication,2504|2505|2506|2507,E102|E103|E104|E105|E107|E112|E113|E114|E115|E117|E122|E123|E124|E125|E127|E132|E133|E134|E135|E137|E142|E143|E144|E145|E147,2
12,Hemiplegia or paraplegia,342|343|3341|3440|3441|3442|3443|3444|3445|3446|3449,G81|G82|G041|G114|G801|G802|G830|G831|G832|G833|G834|G839,2
13,Renal disease,582|585|586|V56|5880|V420|V451|5830|5831|5832|5833|5834|5835|5836|5837|40301|40311|40391|40402|40403|40412|40413|40492|40493,N18|N19|I120|I131|N032|N033|N034|N035|N036|N037|N052|N053|N054|N055|N056|N057|N250|Z490|Z491|Z492|Z940|Z992,2
14,"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin",14|15|16|170|171|172|174|175|176|177|178|179|18|190|191|192|193|194|1950|1951|1952|1953|1954|1955|1956|1957|1958|200|201|202|203|204|205|206|207|208|2386,C43|C88|C0|C1|C20|C21|C22|C23|C24|C25|C26|C30|C31|C32|C33|C34|C37|C38|C39|C40|C41|C45|C46|C47|C48|C49|C50|C51|C52|C53|C54|C55|C56|C57|C58|C60|C61|C62|C63|C64|C65|C66|C67|C68|C69|C70|C71|C72|C73|C74|C75|C76|C81|C82|C83|C84|C85|C90|C91|C92|C93|C94|C95|C96|C97,2
15,Moderate or severe liver disease,4560|4561|4562|5722|5723|5724|5725|5726|5727|5728,I850|I859|I864|I982|K704|K711|K721|K729|K765|K766|K767,3
16,Metastatic solid tumor,196|197|198|199,C77|C78|C79|C80,6
17,AIDS/HIV,042|043|044,B20|B21|B22|B24,6
