index,category,icd9_codes,icd10_codes,weights
0,Age,,YYYY|YYYY,1
1,Acute myocardial infarction,,I21|I22|I23|I252|I258,5
2,Congestive heart failure,,I50,13
3,Peripheral vascular disease,,I71|I739|I790|R02|Z958|Z959,6
4,Cerebral vascular accident,,G450|G451|G452|G454|G458|G459|G46|I60|I61|I62|I63|I64|I65|I66|I67|I68|I69,11
5,Dementia,,F00|F01|F02|F03|F051,14
6,Pulmonary disease,,J40|J41|J42|J43|J44|J45|J46|J47|J60|J61|J62|J63|J64|J65|J66|J67,4
7,Connective tissue disorder,,M05|M060|M063|M069|M32|M332|M34|M353,4
8,Peptic ulcer,,K25|K26|K27|K28,9
9,Liver disease,,K702|K703|K717|K73|K74,8
10,Diabetes,,E101|E105|E106|E108|E109|E111|E115|E116|E118|E119|E131|E135|E136|E138|E139|E141|E145|E146|E148|E149,3
11,Diabetes complications,,E102|E103|E104|E107|E112|E113|E114|E117|E132|E133|E134|E137|E142|E143|E144|E147,-1
12,Paraplegia,,G041|G81|G820|G821|G822,1
13,Renal disease,,I12|I13|N01|N03|N052|N053|N054|N055|N056|N072|N073|N074|N18|N19|N25,10
14,Cancer,,C0|C1|C2|C3|C4|C5|C6|C70|C71|C72|C73|C74|C75|C76|C81|C82|C83|C84|C85|C86|C88|C90|C91|C92|C93|C94|C95|C96|C97,8
15,Severe liver disease,,K721|K729|K766|K767,18
16,Metastatic cancer,,C77|C78|C79|C80,14
17,AIDS/HIV,,B20|B21|B22|B23|B24|O987,2
