Author	License	Name	URL	Version	File
pgjones	MIT License	Hypercorn	https://github.com/pgjones/hypercorn/	0.17.3	cmdbox\licenses\LICENSE_Hypercorn_0_17_3_MIT_License.txt
UNKNOWN	BSD License	Jinja2	https://github.com/pallets/jinja/	3.1.6	cmdbox\licenses\LICENSE_Jinja2_3_1_6_BSD_License.txt
UNKNOWN	BSD License	MarkupSafe	https://github.com/pallets/markupsafe/	3.0.2	cmdbox\licenses\LICENSE_MarkupSafe_3_0_2_BSD_License.txt
Jose Padilla <hello@jpadilla.com>	MIT License	PyJWT	https://github.com/jpadilla/pyjwt	2.10.1	cmdbox\licenses\LICENSE_PyJWT_2_10_1_MIT_License.txt
Kirill Simonov	MIT License	PyYAML	https://pyyaml.org/	6.0.2	cmdbox\licenses\LICENSE_PyYAML_6_0_2_MIT_License.txt
Georg Brandl <georg@python.org>	BSD License	Pygments	https://pygments.org	2.19.2	cmdbox\licenses\LICENSE_Pygments_2_19_2_BSD_License.txt
Adam Turner <aa-turner@users.noreply.github.com>, Georg Brandl <georg@python.org>	UNKNOWN	Sphinx	https://www.sphinx-doc.org/	8.2.3	cmdbox\licenses\LICENSE_Sphinx_8_2_3_UNKNOWN.txt
UNKNOWN	BSD License	alabaster	https://alabaster.readthedocs.io/	1.0.0	cmdbox\licenses\LICENSE_alabaster_1_0_0_BSD_License.txt
Adrian Garcia Badaracco <1755071+adriangb@users.noreply.github.com>, Samuel Colvin <s@muelcolvin.com>, Zac Hatfield-Dodds <zac@zhd.dev>	MIT License	annotated-types	https://github.com/annotated-types/annotated-types	0.7.0	cmdbox\licenses\LICENSE_annotated-types_0_7_0_MIT_License.txt
Alex Grönholm <alex.gronholm@nextday.fi>	UNKNOWN	anyio	https://anyio.readthedocs.io/en/stable/versionhistory.html	4.10.0	cmdbox\licenses\LICENSE_anyio_4_10_0_UNKNOWN.txt
Andrey Kislyuk	Apache Software License	argcomplete	https://github.com/kislyuk/argcomplete	3.6.2	cmdbox\licenses\LICENSE_argcomplete_3_6_2_Apache_Software_License.txt
Andrew Svetlov <andrew.svetlov@gmail.com>	Apache Software License	async-timeout	https://github.com/aio-libs/async-timeout	5.0.1	cmdbox\licenses\LICENSE_async-timeout_5_0_1_Apache_Software_License.txt
Armin Ronacher	BSD License	babel	https://babel.pocoo.org/	2.17.0	cmdbox\licenses\LICENSE_babel_2_17_0_BSD_License.txt
"Jason R. Coombs" <jaraco@jaraco.com>	MIT License	backports.tarfile	https://github.com/jaraco/backports.tarfile	1.2.0	cmdbox\licenses\LICENSE_backports_tarfile_1_2_0_MIT_License.txt
Kenneth Reitz	Mozilla Public License 2.0 (MPL 2.0)	certifi	https://github.com/certifi/python-certifi	2025.8.3	cmdbox\licenses\LICENSE_certifi_2025_8_3_Mozilla_Public_License_2_0-MPL_2_0.txt
Armin Rigo, Maciej Fijalkowski	UNKNOWN	cffi	https://cffi.readthedocs.io/en/latest/whatsnew.html	2.0.0	cmdbox\licenses\LICENSE_cffi_2_0_0_UNKNOWN.txt
"Ahmed R. TAHRI" <tahri.ahmed@proton.me>	MIT	charset-normalizer	https://github.com/jawah/charset_normalizer/blob/master/CHANGELOG.md	3.4.3	cmdbox\licenses\LICENSE_charset-normalizer_3_4_3_MIT.txt
UNKNOWN	UNKNOWN	click	https://github.com/pallets/click/	8.3.0	cmdbox\licenses\LICENSE_click_8_3_0_UNKNOWN.txt
Jonathan Hartley <tartley@tartley.com>	BSD License	colorama	https://github.com/tartley/colorama	0.4.6	cmdbox\licenses\LICENSE_colorama_0_4_6_BSD_License.txt
The Python Cryptographic Authority and individual contributors <cryptography-dev@python.org>	UNKNOWN	cryptography	https://github.com/pyca/cryptography	46.0.1	cmdbox\licenses\LICENSE_cryptography_46_0_1_UNKNOWN.txt
David Goodger <goodger@python.org>	BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License	docutils	https://docutils.sourceforge.io	0.21.2	cmdbox\licenses\LICENSE_docutils_0_21_2_BSD_License-GNU_General_Public_License-GPL-Public_Domain-Python_Software_Foundation_License.txt
=?utf-8?q?Sebasti=C3=A1n_Ram=C3=ADrez?= <tiangolo@gmail.com>	MIT License	fastapi	https://github.com/fastapi/fastapi	0.116.2	cmdbox\licenses\LICENSE_fastapi_0_116_2_MIT_License.txt
Denis Bilenko	MIT	gevent	http://www.gevent.org/	25.9.1	cmdbox\licenses\LICENSE_gevent_25_9_1_MIT.txt
Alexey Borzenkov	MIT AND Python-2.0	greenlet	https://greenlet.readthedocs.io/	3.2.4	cmdbox\licenses\LICENSE_greenlet_3_2_4_MIT_AND_Python-2_0.txt
Benoit Chesneau <benoitc@gunicorn.org>	MIT License	gunicorn	https://gunicorn.org	23.0.0	cmdbox\licenses\LICENSE_gunicorn_23_0_0_MIT_License.txt
Nathaniel J. Smith	MIT License	h11	https://github.com/python-hyper/h11	0.16.0	cmdbox\licenses\LICENSE_h11_0_16_0_MIT_License.txt
Cory Benfield <cory@lukasa.co.uk>	MIT License	h2	https://github.com/python-hyper/h2/	4.3.0	cmdbox\licenses\LICENSE_h2_4_3_0_MIT_License.txt
Cory Benfield <cory@lukasa.co.uk>	MIT License	hpack	https://github.com/python-hyper/hpack/	4.1.0	cmdbox\licenses\LICENSE_hpack_4_1_0_MIT_License.txt
Cory Benfield <cory@lukasa.co.uk>	MIT License	hyperframe	https://github.com/python-hyper/hyperframe/	6.1.0	cmdbox\licenses\LICENSE_hyperframe_6_1_0_MIT_License.txt
UNKNOWN	Apache Software License	id	https://pypi.org/project/id/	1.5.0	cmdbox\licenses\LICENSE_id_1_5_0_Apache_Software_License.txt
Kim Davies <kim+pypi@gumleaf.org>	BSD License	idna	https://github.com/kjd/idna	3.10	cmdbox\licenses\LICENSE_idna_3_10_BSD_License.txt
Yoshiki Shibukawa	MIT License	imagesize	https://github.com/shibukawa/imagesize_py	1.4.1	cmdbox\licenses\LICENSE_imagesize_1_4_1_MIT_License.txt
"Jason R. Coombs" <jaraco@jaraco.com>	Apache Software License	importlib_metadata	https://github.com/python/importlib_metadata	8.7.0	cmdbox\licenses\LICENSE_importlib_metadata_8_7_0_Apache_Software_License.txt
UNKNOWN	BSD License	itsdangerous	https://github.com/pallets/itsdangerous/	2.2.0	cmdbox\licenses\LICENSE_itsdangerous_2_2_0_BSD_License.txt
Jason R. Coombs	MIT License	jaraco.classes	https://github.com/jaraco/jaraco.classes	3.4.0	cmdbox\licenses\LICENSE_jaraco_classes_3_4_0_MIT_License.txt
"Jason R. Coombs" <jaraco@jaraco.com>	MIT License	jaraco.context	https://github.com/jaraco/jaraco.context	6.0.1	cmdbox\licenses\LICENSE_jaraco_context_6_0_1_MIT_License.txt
"Jason R. Coombs" <jaraco@jaraco.com>	UNKNOWN	jaraco.functools	https://github.com/jaraco/jaraco.functools	4.3.0	cmdbox\licenses\LICENSE_jaraco_functools_4_3_0_UNKNOWN.txt
Kang Zhang <jobo.zh@gmail.com>	MIT License	keyring	https://github.com/jaraco/keyring	25.6.0	cmdbox\licenses\LICENSE_keyring_25_6_0_MIT_License.txt
Chris Sewell <chrisj_sewell@hotmail.com>	MIT License	markdown-it-py	https://github.com/executablebooks/markdown-it-py	4.0.0	cmdbox\licenses\LICENSE_markdown-it-py_4_0_0_MIT_License.txt
Taneli Hukkinen <hukkin@users.noreply.github.com>	MIT License	mdurl	https://github.com/executablebooks/mdurl	0.1.2	cmdbox\licenses\LICENSE_mdurl_0_1_2_MIT_License.txt
Erik Rose <erikrose@grinchcentral.com>	UNKNOWN	more-itertools	https://github.com/more-itertools/more-itertools	10.8.0	cmdbox\licenses\LICENSE_more-itertools_10_8_0_UNKNOWN.txt
messense <messense@icloud.com>	MIT	nh3	UNKNOWN	0.3.0	cmdbox\licenses\LICENSE_nh3_0_3_0_MIT.txt
Travis E. Oliphant et al.	BSD License	numpy	https://numpy.org	2.3.3	cmdbox\licenses\LICENSE_numpy_2_3_3_BSD_License.txt
Donald Stufft <donald@stufft.io>	Apache Software License; BSD License	packaging	https://github.com/pypa/packaging	25.0	cmdbox\licenses\LICENSE_packaging_25_0_Apache_Software_License-BSD_License.txt
"Jeffrey A. Clark" <aclark@aclark.net>	UNKNOWN	pillow	https://python-pillow.github.io	11.3.0	cmdbox\licenses\LICENSE_pillow_11_3_0_UNKNOWN.txt
The pip developers <distutils-sig@python.org>	MIT License	pip	https://pip.pypa.io/	24.0	cmdbox\licenses\LICENSE_pip_24_0_MIT_License.txt
Kivy team	MIT License	plyer	https://plyer.readthedocs.org/en/latest/	2.1.0	cmdbox\licenses\LICENSE_plyer_2_1_0_MIT_License.txt
Luke Maurits <luke@maurits.id.au>	UNKNOWN	prettytable	https://github.com/prettytable/prettytable	3.16.0	cmdbox\licenses\LICENSE_prettytable_3_16_0_UNKNOWN.txt
Cory Benfield	MIT License	priority	https://github.com/python-hyper/priority/	2.0.0	cmdbox\licenses\LICENSE_priority_2_0_0_MIT_License.txt
Jonathan Slenders	BSD License	prompt_toolkit	https://github.com/prompt-toolkit/python-prompt-toolkit	3.0.52	cmdbox\licenses\LICENSE_prompt_toolkit_3_0_52_BSD_License.txt
