ContDmgFnId,Source,ft04m,ft03m,ft02m,ft01m,ft00,ft01,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24,Comment
21,FIA,0,0,0,0,12,25,35,36,38,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
22,FIA,0,5,7,8,16,20,22,28,33,39,44,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
23,FIA,0,0,0,0,8,11,19,23,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
24,FIA (MOD.),0,5,7,8,16,18,25,29,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
25,FIA (MOD.),0,0,0,0,7,15,21,22,23,25,27,30,35,40,43,45,48,50,52,54,56,58,60,60,60,60,60,60,60,
26,FIA (MOD.),0,5,7,8,15,22,27,28,29,30,32,35,39,43,46,47,50,52,53,55,57,58,60,60,60,60,60,60,60,
27,FIA,0,0,0,0,8,11,19,23,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
28,FIA (MOD.),0,5,7,8,16,18,25,29,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
29,FIA,0,0,0,0,10,17,23,29,35,40,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
30,FIA,0,5,7,8,15,20,22,28,33,39,44,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
31,FIA,0,0,0,0,7,9,17,22,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
32,FIA (MOD.),0,5,7,8,15,17,23,28,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
33,FIA (MOD.),0,0,0,0,6,11,15,19,23,26,29,32,35,41,43,45,48,50,52,54,56,58,60,60,60,60,60,60,60,
34,FIA (MOD.),0,5,7,8,14,18,22,25,29,31,34,36,39,44,46,47,50,52,53,55,57,58,60,60,60,60,60,60,60,
35,FIA,0,0,0,0,7,9,17,22,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
36,FIA (MOD.),0,5,7,8,15,17,23,28,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
45,USACE - IWR,0,0,0,4,16,26,36,44,52,58,64,68,72,74,76,78,80,80,80,80,80,80,80,80,80,80,80,80,80,
46,USACE - IWR,0,0,0,2,10,18,24,32,38,42,48,52,56,60,64,66,70,72,72,74,74,76,76,78,78,80,80,82,82,
47,USACE - IWR,0,0,0,4,6,10,16,22,30,40,50,62,72,82,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
48,USACE - Chicago,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
49,USACE - Chicago,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
50,USACE - Chicago,0,0,0,0,2,19,32,41,47,51,53,55,56,62,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,
51,USACE - Chicago,0,0,10,15,18,31,44,52,58,61,63,64,66,69,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,
52,USACE - Chicago,0,0,0,0,8,11,18,23,28,33,39,44,50,54,58,62,66,70,74,78,78,78,78,78,78,78,78,78,78,
53,USACE - Chicago,0,5,6,9,11,17,22,28,33,39,44,49,55,61,64,71,76,78,79,79,79,79,79,79,79,79,79,79,79,
54,USACE - Galveston,0,0,0,0,2,22,36,45,57,66,71,77,79,82,84,86,87,89,90,91,92,92,92,93,93,93,93,93,93,
55,USACE - Galveston,0,0,0,0,8,42,60,71,77,82,85,86,87,88,88,88,89,90,90,90,90,90,90,90,90,90,90,90,90,
56,USACE - Galveston,0,0,0,0,4,24,34,40,47,53,56,58,58,58,61,66,68,76,81,86,90,100,100,100,100,100,100,100,100,
57,USACE - New Orleans,0,0,0,0,0,42,63,82,85,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,
58,USACE - New Orleans,0,0,0,0,0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,
59,USACE - New Orleans,0,0,0,0,0,25,37,51,51,55,55,55,55,55,73,81,87,90,93,93,93,93,93,93,93,93,93,93,93,
60,USACE - New Orleans,0,0,0,0,0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,
61,USACE - St. Paul,0,0,0,0,0,27,44,54,63,68,73,75,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,
62,USACE - St. Paul,0,0,0,0,0,27,44,54,63,68,73,75,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,
63,USACE - Wilmington,6,7,8,9,9,21,31,43,54,67,70,73,76,78,81,82,84,85,86,87,88,100,100,100,100,100,100,100,100,
64,USACE - Wilmington,0,0,0,0,9,21,31,37,43,51,57,63,68,74,80,81,83,84,86,87,88,100,100,100,100,100,100,100,100,
65,USACE - Wilmington,0,0,0,0,2,6,10,15,18,21,23,24,28,34,44,54,63,73,76,79,82,85,86,87,88,89,90,91,92,
66,USACE - Wilmington,9,10,13,13,14,26,38,52,64,78,81,85,88,91,95,96,97,99,100,100,100,100,100,100,100,100,100,100,100,
67,USACE - Wilmington,0,0,0,0,11,24,36,43,46,52,59,66,73,80,87,88,90,92,94,96,100,100,100,100,100,100,100,100,100,
68,USACE - Wilmington,0,0,0,0,2,11,16,20,24,28,30,32,38,46,54,63,72,82,85,89,92,95,96,97,98,98,99,100,100,
69,USACE - Wilmington,10,12,13,13,20,34,48,52,64,78,81,85,88,91,95,96,98,99,100,100,100,100,100,100,100,100,100,100,100,
70,USACE - Wilmington,0,0,0,0,3,15,21,25,32,44,50,55,61,66,72,75,79,83,87,91,94,94,95,96,97,98,99,100,100,
71,USACE - Wilmington,6,7,8,9,10,19,29,38,45,53,55,57,59,61,63,67,71,75,78,82,86,100,100,100,100,100,100,100,100,
72,USACE - Wilmington,0,0,0,0,7,18,26,30,40,50,52,53,55,56,58,63,68,72,77,82,86,100,100,100,100,100,100,100,100,
73,USACE - Wilmington,0,0,0,0,1,7,10,13,15,18,19,21,25,33,40,47,54,56,59,62,65,67,71,75,79,83,87,91,95,
74,FIA,0,0,0,0,3,27,49,64,70,76,78,79,81,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,
75,FIA,0,0,0,0,3,27,50,65,71,76,78,79,81,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,
76,USACE - Chicago,0,0,0,0,3,27,49,64,70,76,78,79,81,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,
77,USACE - Galveston,0,0,0,0,3,23,36,43,55,66,78,86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
78,USACE - New Orleans,0,0,0,0,0,39,54,75,77,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,
79,USACE - New Orleans,0,0,0,0,0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,
80,USACE - Wilmington,0,0,0,0,6,22,32,37,50,63,74,82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
81,USACE - Chicago,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
82,USACE - Chicago,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
83,USACE - Galveston,0,0,0,0,6,34,44,55,67,77,87,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
84,USACE - Galveston,0,0,0,0,4,24,34,40,47,53,56,58,58,58,61,66,68,76,81,86,91,100,100,100,100,100,100,100,100,
85,USACE - Galveston,0,0,0,0,0,11,19,25,29,34,39,44,49,56,65,74,82,88,98,98,98,98,98,98,98,98,98,98,98,
86,USACE - Galveston,0,0,0,0,0,11,22,28,33,37,41,44,46,49,54,60,69,81,100,100,100,100,100,100,100,100,100,100,100,
87,USACE - Galveston,0,0,0,0,0,10,16,21,25,30,36,43,52,63,76,88,95,95,95,95,95,95,95,95,95,95,95,95,95,
88,USACE - Galveston,0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,RES6 default
89,USACE - Galveston,0,0,0,0,0,38,60,73,81,88,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
90,USACE - Galveston,0,0,0,0,2,26,42,56,68,78,83,85,87,88,89,90,91,92,92,92,93,93,94,94,94,94,94,94,94,
91,USACE - Galveston,0,0,0,0,20,75,78,85,90,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
