aaa	GHOTUO
aab	TESU
aac	ARI
aad	AMAL
aah	ABU_ARAPESH
aak	ANKAVE
aal	AFADE
aan	ANAMBE
aao	SAHARAN_ARABIC
aap	ARARA_DO_PARA
aaq	ABNAKI_EASTERN
aar	AFAR
aas	AASAX
aau	ABAU
aaw	ARAWE
aax	KAETI_DUMUT
aba	ABE
abb	BANKON
abd	MANIDE
abe	ABNAKI_WESTERN
abg	ABAGA
abh	TAJIKI_ARABIC
abi	ABIDJI
abj	AKA_BEA
abk	ABKHAZ
abm	ABANYOM
abn	ABUA
abo	ABON
abp	AYTA_ABELLEN
abq	ABAZA
abr	ABRON
abs	AMBONESE_MALAY
abt	AMBULAS
abu	ABURE
abv	BAHRAIN_ARABIC
abw	ABASAKUR
abx	INABAKNON
aby	ANEME_WAKE
abz	ABUI
aca	ACHAGUA
acd	GIKYODE
ace	ACEH
acf	ST_LUCIAN_CREOLE_FRENCH
ach	ACHOLI
aci	AKA_CARI
ack	AKA_KORA
acl	AKAR_BALE
acn	ACHANG
acp	SEGEMUK
acu	ACHUAR
acv	ACHUMAWI
acw	HIJAZI_ARABIC
acy	ARABIC_CYPRIOT_SPOKEN
ada	DANGME
add	DZODINKA
ade	ADELE
adf	DHOFARI_ARABIC
adh	ADHOLA
adj	ADIOUKROU
adl	GALO
adn	ADANG
ado	ABU
adq	ADANGBE
adt	ADNYAMATHANHA
adw	AMONDAVA
adx	MAQU_TIBETAN
ady	ADYGHE
adz	ADZERA
aeb	TUNISIAN_ARABIC_MAGHRIB
ael	AMBELE
aer	ARRERNTE_EASTERN
aes	ALSEA
aew	AMBAKICH
aey	AMELE
aez	AEKA
afd	ANDAI
afe	PUTUKWAM
afi	AKUKRAY
afn	DEFAKA
afo	ELOYI
afp	TAPEI
afr	AFRIKAANS
aft	AFITTI
afu	EFUTU
afz	OBOKUITAI
agb	LEGBO
agd	AGARABI
age	ANGAL
agf	ARGUNI
agg	ANGOR
agh	NGELIMA
agj	ARGOBBA
agl	AGALA
agm	ANGAATAHA
ago	TAINAE
agq	AGHEM
agr	AGUARUNA
ags	ESIMBI
agt	AGTA
agv	SINAUNA
agw	KAHUA
agx	AGUL
agy	ALTA_SOUTHERN
aha	AHANTE
ahb	AXAMB
ahg	KEMANT
ahh	AGHU
ahi	AIZI_TIAGBAMRIN
ahk	AKHA
ahl	AHLO
ahn	AHAN
aho	AHOM
ahp	AIZI
ahs	ITOO
aib	AYNU
aie	AMARA
aif	AGI
aih	TAIYANG_AI_CHAM
aik	AKE
ail	AIMELE
aim	AIMOL
aip	BURUMAKOK
air	AIRORAN
ait	ARIKEM
aiw	ARI
aiy	ALI
aja	AJA
ajg	AJA
aji	AJIE
aju	JUDEO_MOROCCAN_ARABIC
ajz	AMRI_KARBI
akb	BATAK_ANGKOLA
akc	MPUR
akd	UKPET_EHOM
ake	AKAWAIO
akg	ANAKALANG
akh	ANGAL_HENENG
aki	AIOME
akk	AKKADIAN
akl	AKLANON
akm	AKA_BO
akp	SIWU
akq	AK
akr	ARAKI
aks	AKASELEM
akt	AKOLET
aku	AKUM
akv	AKHVAKH
akw	AKWA
akx	AKA_KEDE
aky	AKA_KOL
akz	ALABAMA
ala	ALAGO
alc	QAWASQAR
ald	ALLADIAN
ale	ALEUT
alf	ALEGE
alh	ALAWA
ali	AMAIMON
alk	ALAK
alm	AMBLONG
aln	ALBANIAN_GHEG
alo	LARIKE_WAKASIHU
alp	ALUNE
alq	ALGONQUIN
alr	ALUTOR
als	ALBANIAN_TOSK
alt	ALTAI
alw	ALAABA
alz	ALUR
ama	AMANAYE
amc	AMAHUACA
ame	AMUESHA
amf	HAMER_BANNA
amg	AMURDAK
amh	AMHARIC
amj	AMDANG
amk	AMBAI
aml	WAR_JAINTIA
amm	AMA
amn	AMANAB
amo	AMO
amp	ALAMBLAK
amq	AMAHAI
amr	AMARAKAERI
amt	AMTO
amu	XOCHISTLAHUACA_AMUZGO
amw	WESTERN_NEO_ARAMAIC
amx	ANMATYERRE
amy	AMI
