date,account_id,campaign_id,adset_id,ad_id,impressions,clicks,spend,cpc,cpm,ctr,purchases,purchase_value,leads,add_to_cart,currency
2024-03-10,act_1234567890,cmp_1001,adset_2001,ad_3001,50000,600,750.00,1.25,15.0000,0.0120,20,2000.00,10,60,USD
2024-03-11,act_1234567890,cmp_1001,adset_2001,ad_3001,52000,650,800.00,1.2308,15.3846,0.0125,22,2200.00,12,70,USD
2024-03-10,act_1234567890,cmp_1001,adset_2001,ad_3002,40000,500,700.00,1.4000,17.5000,0.0125,18,1800.00,8,55,USD
2024-03-11,act_1234567890,cmp_1001,adset_2001,ad_3002,42000,520,725.00,1.3942,17.2619,0.0124,19,1900.00,9,58,USD
2024-03-10,act_1234567890,cmp_1001,adset_2002,ad_3003,30000,450,600.00,1.3333,20.0000,0.0150,15,1500.00,7,45,USD
2024-03-11,act_1234567890,cmp_1001,adset_2002,ad_3003,31000,430,590.00,1.3721,19.0323,0.0139,14,1400.00,6,40,USD
2024-03-10,act_1234567890,cmp_1002,adset_2003,ad_3004,20000,700,1000.00,1.4286,50.0000,0.0350,40,6000.00,25,120,USD
2024-03-11,act_1234567890,cmp_1002,adset_2003,ad_3004,21000,680,980.00,1.4412,46.6667,0.0324,38,5700.00,22,110,USD
2024-02-10,act_9876543210,cmp_1003,adset_2004,ad_3005,15000,300,250.00,0.8333,16.6667,0.0200,0,0.00,45,0,EUR
2024-02-11,act_9876543210,cmp_1003,adset_2004,ad_3005,14000,260,230.00,0.8846,16.4286,0.0186,0,0.00,40,0,EUR
