CustomerID,Age,Annual_Income_(k$),Spending_Score
1,56,84,61
2,69,86,48
3,46,41,19
4,32,23,4
5,60,76,35
6,25,51,64
7,38,111,49
8,56,65,17
9,36,120,44
10,40,58,92
11,28,38,30
12,28,93,93
13,41,73,46
14,53,132,6
15,57,46,99
16,41,110,37
17,20,102,24
18,39,119,93
19,19,66,46
20,41,127,53
21,61,76,95
22,47,127,99
23,55,72,60
24,19,66,97
25,38,26,63
26,50,53,85
27,29,16,32
28,39,17,87
29,61,127,33
30,42,115,67
31,66,127,18
32,44,70,25
33,59,95,95
34,45,73,54
35,33,127,58
36,32,16,67
37,64,16,46
38,68,106,24
39,61,68,32
40,69,101,47
41,20,115,86
42,54,110,23
43,68,111,66
44,24,15,27
45,38,33,2
46,26,16,90
47,56,67,17
48,35,58,33
49,21,104,9
50,42,46,43
51,31,84,48
52,67,46,39
53,26,133,93
54,43,82,42
55,19,69,26
56,37,89,99
57,45,70,50
58,64,137,25
59,24,31,24
60,61,52,13
61,25,38,60
62,64,83,7
63,52,130,57
64,31,112,36
65,34,84,45
66,53,100,20
67,67,25,65
68,57,126,8
69,21,30,16
70,19,111,14
71,23,87,76
72,59,138,87
73,21,73,15
74,46,84,92
75,35,94,98
76,43,107,66
77,61,17,32
78,51,34,87
79,27,138,63
80,53,73,86
81,31,50,51
82,48,33,25
83,65,104,58
84,32,81,63
85,25,33,62
86,31,34,22
87,40,110,58
88,57,85,58
89,38,66,86
90,33,119,49
91,62,47,52
92,35,54,42
93,64,53,70
94,41,96,15
95,43,118,54
96,42,15,60
97,62,25,97
98,58,106,8
99,46,71,53
100,32,103,60
101,62,64,5
102,18,37,68
103,42,45,6
104,24,108,96
105,26,56,94
106,41,113,47
107,18,21,99
108,61,138,55
109,25,30,40
110,41,104,52
111,28,126,16
112,68,135,13
113,34,130,30
114,25,74,19
115,52,127,17
116,52,16,63
117,50,15,19
118,22,62,92
119,59,26,58
120,56,83,55
121,58,51,90
122,45,46,90
123,24,137,62
124,26,133,23
125,25,23,9
126,29,119,12
127,51,113,1
128,50,33,58
129,65,62,1
130,40,94,34
131,41,17,96
132,54,34,48
133,52,38,89
134,61,68,1
135,57,134,16
136,39,47,61
137,44,38,64
138,52,130,63
139,18,89,69
140,52,127,22
141,54,86,93
142,64,50,67
143,31,52,76
144,20,118,26
145,18,98,16
146,22,113,51
147,43,126,86
148,31,103,57
149,56,113,29
150,44,39,78
151,26,107,92
152,32,32,69
153,32,124,47
154,43,96,94
155,59,80,62
156,30,68,69
157,68,49,76
158,49,94,16
159,56,75,90
160,66,55,90
161,69,114,48
162,49,47,85
163,21,82,39
164,47,47,33
165,54,28,94
166,40,35,23
167,56,62,10
168,62,34,69
169,32,134,34
170,60,22,52
171,46,21,95
172,53,81,10
173,30,31,19
174,49,47,58
175,24,62,96
176,68,90,1
177,39,73,69
178,45,129,4
179,19,100,16
180,59,133,24
181,62,36,80
182,23,124,2
183,45,44,92
184,45,52,32
185,61,116,91
186,61,123,84
187,37,65,24
188,47,68,12
189,28,22,50
190,45,41,35
191,42,41,33
192,56,112,33
193,50,35,61
194,18,44,51
195,44,111,43
196,69,42,12
197,30,125,67
198,58,78,65
199,20,111,33
200,56,83,40
