Id,OpportunityId,PricebookEntryId,Quantity,UnitPrice,TotalPrice,ServiceDate,Description
00kxx000007OLI01AAG,006xx000005GHjkAAG,01uxx000001PE02AAG,20,5000,100000,2024-03-01,Core Server bundle
00kxx000007OLI02AAG,006xx000005GHjkAAG,01uxx000001PE01AAG,50,1000,50000,2024-03-01,Edge Workstation add-ons
00kxx000007OLI03AAG,006xx000005GHjlAAG,01uxx000001PE03AAG,200,250,50000,2024-06-01,Premium Support (12 mo)
00kxx000007OLI04AAG,006xx000005GHjmAAG,01uxx000001PE08AAG,30,4500,135000,2024-04-15,POS servers (EU)
00kxx000007OLI05AAG,006xx000005GHjmAAG,01uxx000001PE07AAG,50,900,45000,2024-04-15,Workstations (EU)
00kxx000007OLI06AAG,006xx000005GHjmAAG,01uxx000001PE09AAG,100,200,20000,2024-04-15,Support (EU)
00kxx000007OLI07AAG,006xx000005GHjnAAG,01uxx000001PE10AAG,10,800,8000,2024-06-01,Pilot workstations (UK)
00kxx000007OLI08AAG,006xx000005GHjnAAG,01uxx000001PE12AAG,100,190,19000,2024-06-01,Pilot support (UK)
00kxx000007OLI09AAG,006xx000005GHjoAAG,01uxx000001PE02AAG,10,5000,50000,2024-03-10,Core Server (US)
00kxx000007OLI10AAG,006xx000005GHjoAAG,01uxx000001PE03AAG,100,250,25000,2024-03-10,Support (US)
00kxx000007OLI11AAG,006xx000005GHjpAAG,01uxx000001PE02AAG,20,5000,100000,2024-04-10,Core Server (US)
00kxx000007OLI12AAG,006xx000005GHjpAAG,01uxx000001PE01AAG,20,1000,20000,2024-04-10,Edge Workstations (US)
