id,payroll_result_id,worker_id,deduction_type,code,description,amount,currency,pre_tax
ded_3001,pay_2001,wrk_1001,MEDICAL,MED_US,PPO Gold employee share,180.00,USD,true
ded_3002,pay_2001,wrk_1001,RETIREMENT,401K,401k employee contribution,18.00,USD,true
ded_3003,pay_2001,wrk_1001,OTHER,CHARITY,Charitable giving,15.00,USD,false
ded_3004,pay_2002,wrk_1002,MEDICAL,MED_US,HMO Standard family,210.00,USD,true
ded_3005,pay_2002,wrk_1002,RETIREMENT,401K,401k employee contribution,115.00,USD,true
ded_3006,pay_2002,wrk_1002,OTHER,PARK,Parking pass,25.00,USD,false
ded_3007,pay_2003,wrk_1004,OTHER,,No deductions this period,0.00,USD,false
ded_3008,pay_2004,wrk_1005,RETIREMENT,UK_PEN,UK pension employee,70.00,GBP,true
ded_3009,pay_2004,wrk_1005,OTHER,GYM,Gym membership,10.00,GBP,false
ded_3010,pay_2005,wrk_1003,MEDICAL,MED_DE,PPO Silver employee share,75.00,EUR,true
ded_3011,pay_2005,wrk_1003,OTHER,CHARITY,Charitable giving,5.00,EUR,false
