id,worker_id,component_type,currency,amount,unit,frequency,effective_start,effective_end,pay_grade,pay_group,notes
comp_8001,wrk_1001,BASE_SALARY,USD,105000,ANNUAL,ANNUAL,2020-03-15,2023-02-28,IC2,US-SAL,"Initial offer"
comp_8002,wrk_1001,BASE_SALARY,USD,118000,ANNUAL,ANNUAL,2023-03-01,9999-12-31,IC2,US-SAL,"Merit increase"
comp_8003,wrk_1001,BONUS_TARGET,USD,10,PCT_OF_BASE,ANNUAL,2020-03-15,9999-12-31,IC2,US-SAL,"Eligible for 10%"
comp_8004,wrk_1001,EQUITY,USD,80000,GRANT_VALUE,ONCE,2022-04-01,2022-04-01,IC2,US-SAL,"RSUs vest over 4 years"
comp_8005,wrk_1002,BASE_SALARY,USD,150000,ANNUAL,ANNUAL,2019-07-01,2022-12-31,MGR,US-SAL,"Initial manager salary"
comp_8006,wrk_1002,BASE_SALARY,USD,165000,ANNUAL,ANNUAL,2023-01-01,9999-12-31,MGR,US-SAL,"Promotion to Sr. Manager"
comp_8007,wrk_1002,BONUS_TARGET,USD,20,PCT_OF_BASE,ANNUAL,2019-07-01,9999-12-31,MGR,US-SAL,"Mgmt bonus"
comp_8008,wrk_1002,EQUITY,USD,120000,GRANT_VALUE,ONCE,2023-02-01,2023-02-01,MGR,US-SAL,"Refresh grant"
comp_8009,wrk_1003,BASE_SALARY,EUR,52000,ANNUAL,ANNUAL,2021-01-10,2023-12-31,IC2,DE-SAL,"HR Specialist"
comp_8010,wrk_1003,BONUS_TARGET,EUR,8,PCT_OF_BASE,ANNUAL,2021-01-10,2023-12-31,IC2,DE-SAL,"Eligible until termination"
comp_8011,wrk_1004,HOURLY_RATE,USD,48,HOUR,HOURLY,2022-05-20,9999-12-31,CONTRACT,US-HRLY,"Contract analyst"
comp_8012,wrk_1004,OVERTIME_RATE,USD,72,HOUR,HOURLY,2022-05-20,9999-12-31,CONTRACT,US-HRLY,"1.5x OT rate"
comp_8013,wrk_1005,BASE_SALARY,GBP,42000,ANNUAL,ANNUAL,2023-09-01,2024-02-29,IC1,UK-SAL,"Initial salary"
comp_8014,wrk_1005,BASE_SALARY,GBP,47000,ANNUAL,ANNUAL,2024-03-01,9999-12-31,IC1,UK-SAL,"Promotion/merit"
comp_8015,wrk_1005,BONUS_TARGET,GBP,7,PCT_OF_BASE,ANNUAL,2023-09-01,9999-12-31,IC1,UK-SAL,"Bonus eligible"
comp_8016,wrk_1005,EQUITY,GBP,30000,GRANT_VALUE,ONCE,2024-03-15,2024-03-15,IC1,UK-SAL,"New-hire RSU top-up"
