MANDT,BUKRS,SAKNR,ERSDA,SPERR
100,1000,100000,2024-01-10,
100,1000,110000,2024-01-10,
100,1000,140000,2024-01-10,
100,1000,160000,2024-01-10,
100,1000,300000,2024-01-10,
100,1000,400000,2024-01-10,
100,1000,500000,2024-01-10,
100,2000,100000,2024-01-10,
100,2000,110000,2024-01-10,
100,2000,140000,2024-01-10,
100,2000,160000,2024-01-10,
100,2000,300000,2024-01-10,
100,2000,400000,2024-01-10,
100,2000,500000,2024-01-10,
100,3000,100000,2024-01-10,
100,3000,110000,2024-01-10,
100,3000,140000,2024-01-10,
100,3000,160000,2024-01-10,
100,3000,300000,2024-01-10,
100,3000,400000,2024-01-10,
100,3000,500000,2024-01-10,
