Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C188714		No	DDF Activity Attribute Terminology	DDF Activity Attribute Terminology	DDF Activity Attribute Terminology	A terminology value set relevant to the attributes of the activity.	CDISC DDF Activity Attribute Terminology
C70960	C188714		DDF Activity Attribute Terminology	Clinical Study Activity Description		The textual representation of the study activity.	Clinical Study Activity Description
C207458	C188714		DDF Activity Attribute Terminology	Clinical Study Activity Label		The short descriptive designation for the study activity.	Study Activity Label
C188842	C188714		DDF Activity Attribute Terminology	Clinical Study Activity Name		The literal identifier (i.e., distinctive designation) of the clinical study activity.	Clinical Study Activity Name
C201253		No	DDF Address Attribute Terminology	DDF Address Attribute Terminology	DDF Address Attribute Terminology	A terminology value set relevant to the attributes of the address.	CDISC DDF Address Attribute Terminology
C201311	C201253		DDF Address Attribute Terminology	Address Full Text		A standardized representation of the complete set of components denoting the physical address of the person, business, building, or organization.	Address Full Text
C25690	C201253		DDF Address Attribute Terminology	Address Line		The street name and number, building number, apartment or unit number, or post office box number where an entity is physically located.	Street Address
C25160	C201253		DDF Address Attribute Terminology	City		A relatively large and/or densely populated area of human habitation with administrative or legal status that may be specified as a component of a postal address.	City
C25464	C201253		DDF Address Attribute Terminology	Country		A sovereign nation occupying a distinct territory and ruled by an autonomous government.	Country
C176229	C201253		DDF Address Attribute Terminology	District		An administrative or territorial division of a city, town, county, parish, state, country, or other locality based on a shared characteristic.	District
C25621	C201253		DDF Address Attribute Terminology	Postal Code		An alphanumeric code assigned to a mail delivery area.	Postal Code
C87194	C201253		DDF Address Attribute Terminology	State		A sub-division of a country that forms part of a federal union. States are usually, but not always, more autonomous than provinces and may have different laws from the central government.	State
C207420		No	DDF Administration Duration Attribute Terminology	DDF Administration Duration Attribute Terminology	DDF Administration Duration Attribute Terminology	A terminology value set relevant to the attributes of the administration duration.	CDISC DDF Administration Duration Attribute Terminology
C207459	C207420		DDF Administration Duration Attribute Terminology	Administration Duration Description		A narrative representation of the agent administration duration.	Administration Duration Description
C207460	C207420		DDF Administration Duration Attribute Terminology	Administration Duration Quantity Value		The value representing the amount of time over which the administration of an agent occurs.	Administration Duration Quantity Value
C207462	C207420		DDF Administration Duration Attribute Terminology	Administration Duration Reason Duration Will Vary	Reason Administration Duration Will Vary	The explanation for why the agent administration duration will vary within and/or across subjects.	Reason Administration Duration Will Vary
C207461	C207420		DDF Administration Duration Attribute Terminology	Administration Duration Will Vary Indicator		An indication as to whether the agent administration duration is planned to vary within and/or across subjects.	Administration Duration Will Vary Indicator
C207421		No	DDF Agent Administration Attribute Terminology	DDF Agent Administration Attribute Terminology	DDF Agent Administration Attribute Terminology	A terminology value set relevant to the attributes of the agent administration.	CDISC DDF Agent Administration Attribute Terminology
C207463	C207421		DDF Agent Administration Attribute Terminology	Agent Administration Description		A narrative representation of the agent administration.	Agent Administration Description
C167190	C207421		DDF Agent Administration Attribute Terminology	Agent Administration Dose		The value representing the amount of an agent given to an individual at one time.	Dose Administered
C207464	C207421		DDF Agent Administration Attribute Terminology	Agent Administration Label		The short descriptive designation for the agent administration.	Agent Administration Label
C207465	C207421		DDF Agent Administration Attribute Terminology	Agent Administration Name		The literal identifier (i.e., distinctive designation) of the agent administration.	Agent Administration Name
C89081	C207421		DDF Agent Administration Attribute Terminology	Dosing Frequency	Dosing Frequency	The number of doses administered per a specific interval.	Dose Frequency
